DATE,house_st
1/1/2005,2144
2/1/2005,2207
3/1/2005,1864
4/1/2005,2061
5/1/2005,2025
6/1/2005,2068
7/1/2005,2054
8/1/2005,2095
9/1/2005,2151
10/1/2005,2065
11/1/2005,2147
12/1/2005,1994
1/1/2006,2273
2/1/2006,2119
3/1/2006,1969
4/1/2006,1821
5/1/2006,1942
6/1/2006,1802
7/1/2006,1737
8/1/2006,1650
9/1/2006,1720
10/1/2006,1491
11/1/2006,1570
12/1/2006,1649
1/1/2007,1409
2/1/2007,1480
3/1/2007,1495
4/1/2007,1490
5/1/2007,1415
6/1/2007,1448
7/1/2007,1354
8/1/2007,1330
9/1/2007,1183
10/1/2007,1264
11/1/2007,1197
12/1/2007,1037
1/1/2008,1084
2/1/2008,1103
3/1/2008,1005
4/1/2008,1013
5/1/2008,973
6/1/2008,1046
7/1/2008,923
8/1/2008,844
9/1/2008,820
10/1/2008,777
11/1/2008,652
12/1/2008,560
1/1/2009,490
2/1/2009,582
3/1/2009,505
4/1/2009,478
5/1/2009,540
6/1/2009,585
7/1/2009,594
8/1/2009,586
9/1/2009,585
10/1/2009,534
11/1/2009,588
12/1/2009,581
1/1/2010,614
2/1/2010,604
3/1/2010,636
4/1/2010,687
5/1/2010,583
6/1/2010,536
7/1/2010,546
8/1/2010,599
9/1/2010,594
10/1/2010,543
11/1/2010,545
12/1/2010,539
1/1/2011,630
2/1/2011,517
3/1/2011,600
4/1/2011,554
5/1/2011,561
6/1/2011,608
7/1/2011,623
8/1/2011,585
9/1/2011,650
10/1/2011,610
11/1/2011,711
12/1/2011,694
1/1/2012,723
2/1/2012,704
3/1/2012,695
4/1/2012,753
5/1/2012,708
6/1/2012,757
7/1/2012,740
8/1/2012,754
9/1/2012,847
10/1/2012,915
11/1/2012,833
12/1/2012,976
1/1/2013,888
2/1/2013,962
3/1/2013,1010
4/1/2013,835
5/1/2013,930
6/1/2013,839
7/1/2013,880
8/1/2013,917
9/1/2013,850
10/1/2013,925
11/1/2013,1100
12/1/2013,1002
1/1/2014,888
2/1/2014,944
3/1/2014,970
4/1/2014,1043
5/1/2014,1007
6/1/2014,911
7/1/2014,1085
8/1/2014,984
9/1/2014,1023
10/1/2014,1074
11/1/2014,1001
12/1/2014,1073
1/1/2015,1085
2/1/2015,886
3/1/2015,960
4/1/2015,1190
5/1/2015,1079
6/1/2015,1205
7/1/2015,1146
8/1/2015,1130
9/1/2015,1224
10/1/2015,1058
11/1/2015,1172
12/1/2015,1146
1/1/2016,1092
2/1/2016,1225
3/1/2016,1111
4/1/2016,1163
5/1/2016,1148
6/1/2016,1203
7/1/2016,1239
8/1/2016,1171
9/1/2016,1068
10/1/2016,1313
11/1/2016,1140
12/1/2016,1252
1/1/2017,1190
2/1/2017,1271
3/1/2017,1190
4/1/2017,1146
5/1/2017,1157
6/1/2017,1249
7/1/2017,1206
8/1/2017,1159
9/1/2017,1181
10/1/2017,1257
11/1/2017,1273
12/1/2017,1177
1/1/2018,1299
2/1/2018,1277
3/1/2018,1318
4/1/2018,1276
5/1/2018,1357
6/1/2018,1192
7/1/2018,1208
8/1/2018,1288
9/1/2018,1250
10/1/2018,1221
11/1/2018,1181
12/1/2018,1095
1/1/2019,1232
2/1/2019,1128
3/1/2019,1195
4/1/2019,1267
5/1/2019,1307
6/1/2019,1228
7/1/2019,1245
8/1/2019,1367
9/1/2019,1300
10/1/2019,1332
11/1/2019,1346
12/1/2019,1551
1/1/2020,1572
2/1/2020,1565
3/1/2020,1267
4/1/2020,925
5/1/2020,1054
6/1/2020,1266
7/1/2020,1529
8/1/2020,1377
9/1/2020,1463
10/1/2020,1537
11/1/2020,1545
12/1/2020,1663
1/1/2021,1602
2/1/2021,1422
3/1/2021,1700
4/1/2021,1484
5/1/2021,1600
6/1/2021,1661
7/1/2021,1593
8/1/2021,1576
9/1/2021,1560
10/1/2021,1572
11/1/2021,1712
12/1/2021,1787
1/1/2022,1669
2/1/2022,1771
3/1/2022,1713
4/1/2022,1803
5/1/2022,1543
6/1/2022,1561
7/1/2022,1371
8/1/2022,1505
9/1/2022,1463
10/1/2022,1432
11/1/2022,1427
12/1/2022,1357
1/1/2023,1340
2/1/2023,1436
3/1/2023,1380
4/1/2023,1348
5/1/2023,1583
6/1/2023,1418
7/1/2023,1451
8/1/2023,1451
9/1/2023,1451
10/1/2023,1451
11/1/2023,1453
12/1/2023,1454
1/1/2024,1340
2/1/2024,1456
3/1/2024,1370
4/1/2024,1368
5/1/2024,1573
6/1/2024,1458
7/1/2024,1452
8/1/2024,1461
9/1/2024,1461
10/1/2024,1441
11/1/2024,1483
12/1/2024,1459
1/1/2025,1341
2/1/2025,1435
3/1/2025,1387
4/1/2025,1347
