DATE,MSPUS
1/1/2005,232500
2/1/2005,232500
3/1/2005,232500
4/1/2005,233700
5/1/2005,233700
6/1/2005,233700
7/1/2005,236400
8/1/2005,236400
9/1/2005,236400
10/1/2005,243600
11/1/2005,243600
12/1/2005,243600
1/1/2006,247700
2/1/2006,247700
3/1/2006,247700
4/1/2006,246300
5/1/2006,246300
6/1/2006,246300
7/1/2006,235600
8/1/2006,235600
9/1/2006,235600
10/1/2006,245400
11/1/2006,245400
12/1/2006,245400
1/1/2007,257400
2/1/2007,257400
3/1/2007,257400
4/1/2007,242200
5/1/2007,242200
6/1/2007,242200
7/1/2007,241800
8/1/2007,241800
9/1/2007,241800
10/1/2007,238400
11/1/2007,238400
12/1/2007,238400
1/1/2008,233900
2/1/2008,233900
3/1/2008,233900
4/1/2008,235300
5/1/2008,235300
6/1/2008,235300
7/1/2008,226500
8/1/2008,226500
9/1/2008,226500
10/1/2008,222500
11/1/2008,222500
12/1/2008,222500
1/1/2009,208400
2/1/2009,208400
3/1/2009,208400
4/1/2009,220900
5/1/2009,220900
6/1/2009,220900
7/1/2009,214300
8/1/2009,214300
9/1/2009,214300
10/1/2009,219000
11/1/2009,219000
12/1/2009,219000
1/1/2010,222900
2/1/2010,222900
3/1/2010,222900
4/1/2010,219500
5/1/2010,219500
6/1/2010,219500
7/1/2010,224100
8/1/2010,224100
9/1/2010,224100
10/1/2010,224300
11/1/2010,224300
12/1/2010,224300
1/1/2011,226900
2/1/2011,226900
3/1/2011,226900
4/1/2011,228100
5/1/2011,228100
6/1/2011,228100
7/1/2011,223500
8/1/2011,223500
9/1/2011,223500
10/1/2011,221100
11/1/2011,221100
12/1/2011,221100
1/1/2012,238400
2/1/2012,238400
3/1/2012,238400
4/1/2012,238700
5/1/2012,238700
6/1/2012,238700
7/1/2012,248800
8/1/2012,248800
9/1/2012,248800
10/1/2012,251700
11/1/2012,251700
12/1/2012,251700
1/1/2013,258400
2/1/2013,258400
3/1/2013,258400
4/1/2013,268100
5/1/2013,268100
6/1/2013,268100
7/1/2013,264800
8/1/2013,264800
9/1/2013,264800
10/1/2013,273600
11/1/2013,273600
12/1/2013,273600
1/1/2014,275200
2/1/2014,275200
3/1/2014,275200
4/1/2014,288000
5/1/2014,288000
6/1/2014,288000
7/1/2014,281000
8/1/2014,281000
9/1/2014,281000
10/1/2014,298900
11/1/2014,298900
12/1/2014,298900
1/1/2015,289200
2/1/2015,289200
3/1/2015,289200
4/1/2015,289100
5/1/2015,289100
6/1/2015,289100
7/1/2015,295800
8/1/2015,295800
9/1/2015,295800
10/1/2015,302500
11/1/2015,302500
12/1/2015,302500
1/1/2016,299800
2/1/2016,299800
3/1/2016,299800
4/1/2016,306000
5/1/2016,306000
6/1/2016,306000
7/1/2016,303800
8/1/2016,303800
9/1/2016,303800
10/1/2016,310900
11/1/2016,310900
12/1/2016,310900
1/1/2017,313100
2/1/2017,313100
3/1/2017,313100
4/1/2017,318200
5/1/2017,318200
6/1/2017,318200
7/1/2017,320500
8/1/2017,320500
9/1/2017,320500
10/1/2017,337900
11/1/2017,337900
12/1/2017,337900
1/1/2018,331800
2/1/2018,331800
3/1/2018,331800
4/1/2018,315600
5/1/2018,315600
6/1/2018,315600
7/1/2018,330900
8/1/2018,330900
9/1/2018,330900
10/1/2018,322800
11/1/2018,322800
12/1/2018,322800
1/1/2019,313000
2/1/2019,313000
3/1/2019,313000
4/1/2019,322500
5/1/2019,322500
6/1/2019,322500
7/1/2019,318400
8/1/2019,318400
9/1/2019,318400
10/1/2019,327100
11/1/2019,327100
12/1/2019,327100
1/1/2020,329000
2/1/2020,329000
3/1/2020,329000
4/1/2020,322600
5/1/2020,322600
6/1/2020,322600
7/1/2020,337500
8/1/2020,337500
9/1/2020,337500
10/1/2020,358700
11/1/2020,358700
12/1/2020,358700
1/1/2021,369800
2/1/2021,369800
3/1/2021,369800
4/1/2021,382600
5/1/2021,382600
6/1/2021,382600
7/1/2021,411200
8/1/2021,411200
9/1/2021,411200
10/1/2021,423600
11/1/2021,423600
12/1/2021,423600
1/1/2022,433100
2/1/2022,433100
3/1/2022,433100
4/1/2022,449300
5/1/2022,449300
6/1/2022,449300
7/1/2022,468000
8/1/2022,468000
9/1/2022,468000
10/1/2022,479500
11/1/2022,479500
12/1/2022,479500
1/1/2023,429000
2/1/2023,429000
3/1/2023,429000
4/1/2023,418500
5/1/2023,418500
6/1/2023,418500
7/1/2023,431000
8/1/2023,431000
9/1/2023,431300
10/1/2023,431310
11/1/2023,431350
12/1/2023,431360
1/1/2024,429050
2/1/2024,428000
3/1/2024,426000
4/1/2024,417500
5/1/2024,418700
6/1/2024,416500
7/1/2024,437000
8/1/2024,431900
9/1/2024,435300
10/1/2024,431710
11/1/2024,437350
12/1/2024,437360
1/1/2025,429000
2/1/2025,429700
3/1/2025,424000
4/1/2025,418500
