DATE,PPI_Cement
1/1/2005,166.8
2/1/2005,168.8
3/1/2005,169
4/1/2005,171.8
5/1/2005,172.2
6/1/2005,172.5
7/1/2005,179
8/1/2005,179.2
9/1/2005,180.2
10/1/2005,180.3
11/1/2005,180.6
12/1/2005,181.3
1/1/2006,191
2/1/2006,191.5
3/1/2006,195.3
4/1/2006,196.7
5/1/2006,197.6
6/1/2006,197.8
7/1/2006,199.4
8/1/2006,200
9/1/2006,201
10/1/2006,201
11/1/2006,200.9
12/1/2006,200.8
1/1/2007,206.3
2/1/2007,204.3
3/1/2007,205.1
4/1/2007,210
5/1/2007,209.3
6/1/2007,208.3
7/1/2007,208.8
8/1/2007,208.3
9/1/2007,210.7
10/1/2007,210.2
11/1/2007,210.1
12/1/2007,209.1
1/1/2008,208.5
2/1/2008,208.9
3/1/2008,208.9
4/1/2008,210.4
5/1/2008,207.7
6/1/2008,204.1
7/1/2008,207.9
8/1/2008,207.9
9/1/2008,207.5
10/1/2008,207.8
11/1/2008,207.3
12/1/2008,206.9
1/1/2009,211.1
2/1/2009,207.2
3/1/2009,205.1
4/1/2009,209.5
5/1/2009,207.6
6/1/2009,204.9
7/1/2009,203.1
8/1/2009,202.1
9/1/2009,201.9
10/1/2009,200.6
11/1/2009,199.9
12/1/2009,198.5
1/1/2010,198.4
2/1/2010,197.9
3/1/2010,196.3
4/1/2010,194.6
5/1/2010,193.3
6/1/2010,192.3
7/1/2010,191.7
8/1/2010,191.5
9/1/2010,190.8
10/1/2010,190
11/1/2010,188.5
12/1/2010,187.9
1/1/2011,185.8
2/1/2011,185.4
3/1/2011,186.5
4/1/2011,189
5/1/2011,188
6/1/2011,186.9
7/1/2011,188.6
8/1/2011,187.8
9/1/2011,189.3
10/1/2011,180.8
11/1/2011,181.9
12/1/2011,182.5
1/1/2012,185.4
2/1/2012,185.8
3/1/2012,185.2
4/1/2012,187.2
5/1/2012,188.7
6/1/2012,188.8
7/1/2012,188.3
8/1/2012,189
9/1/2012,189.1
10/1/2012,188.8
11/1/2012,189.1
12/1/2012,188.3
1/1/2013,194.7
2/1/2013,194.4
3/1/2013,194.6
4/1/2013,196.2
5/1/2013,197.5
6/1/2013,197.5
7/1/2013,197.2
8/1/2013,197.7
9/1/2013,197.6
10/1/2013,197.9
11/1/2013,198
12/1/2013,197.4
1/1/2014,200.8
2/1/2014,199.2
3/1/2014,199.3
4/1/2014,207
5/1/2014,207.1
6/1/2014,207
7/1/2014,207
8/1/2014,207.8
9/1/2014,208.8
10/1/2014,210.5
11/1/2014,210.3
12/1/2014,210
1/1/2015,217.3
2/1/2015,217.7
3/1/2015,217.3
4/1/2015,225
5/1/2015,224.4
6/1/2015,223.7
7/1/2015,223.9
8/1/2015,224.8
9/1/2015,224.1
10/1/2015,224.3
11/1/2015,223.8
12/1/2015,224.1
1/1/2016,231.5
2/1/2016,229.3
3/1/2016,229.6
4/1/2016,233.4
5/1/2016,233.2
6/1/2016,233.7
7/1/2016,235.4
8/1/2016,235.1
9/1/2016,234.9
10/1/2016,234.7
11/1/2016,234.9
12/1/2016,233.9
1/1/2017,238.9
2/1/2017,239.4
3/1/2017,239.3
4/1/2017,245.3
5/1/2017,245.5
6/1/2017,245.4
7/1/2017,245.6
8/1/2017,245.6
9/1/2017,244.7
10/1/2017,243.8
11/1/2017,243.4
12/1/2017,243.3
1/1/2018,246.8
2/1/2018,246.6
3/1/2018,246.5
4/1/2018,248.1
5/1/2018,249.2
6/1/2018,251
7/1/2018,250.3
8/1/2018,249.6
9/1/2018,249.7
10/1/2018,250.3
11/1/2018,249.9
12/1/2018,249.9
1/1/2019,252.7
2/1/2019,252.1
3/1/2019,251.2
4/1/2019,255.6
5/1/2019,258.1
6/1/2019,257.7
7/1/2019,255.5
8/1/2019,255.4
9/1/2019,255.5
10/1/2019,255.4
11/1/2019,255.1
12/1/2019,255
1/1/2020,254.2
2/1/2020,253.9
3/1/2020,253.9
4/1/2020,257.2
5/1/2020,256.2
6/1/2020,258.4
7/1/2020,259.7
8/1/2020,259.6
9/1/2020,259.8
10/1/2020,259.7
11/1/2020,259.5
12/1/2020,259.6
1/1/2021,260.7
2/1/2021,261.3
3/1/2021,261.2
4/1/2021,268
5/1/2021,268.2
6/1/2021,268.4
7/1/2021,269.453
8/1/2021,271.193
9/1/2021,271.694
10/1/2021,271.977
11/1/2021,270.722
12/1/2021,271.163
1/1/2022,280.267
2/1/2022,281.955
3/1/2022,281.915
4/1/2022,287.439
5/1/2022,287.567
6/1/2022,288.522
7/1/2022,296.731
8/1/2022,299.595
9/1/2022,301.55
10/1/2022,306.085
11/1/2022,307.269
12/1/2022,307.445
1/1/2023,322.376
2/1/2023,326.256
3/1/2023,326.838
4/1/2023,327.097
5/1/2023,329.026
6/1/2023,328.71
7/1/2023,331.181
8/1/2023,331.189
9/1/2023,331.179
10/1/2023,331.179
11/1/2023,331.178
12/1/2023,331.188
1/1/2024,322.476
2/1/2024,326.266
3/1/2024,326.848
4/1/2024,325.097
5/1/2024,329.126
6/1/2024,328.712
7/1/2024,331.191
8/1/2024,332.189
9/1/2024,331.679
10/1/2024,332.179
11/1/2024,331.188
12/1/2024,335.188
1/1/2025,327.376
2/1/2025,326.456
3/1/2025,326.868
4/1/2025,327.797
