DATE,all_Const_Emp
1/1/2005,932.1
2/1/2005,938
3/1/2005,942.5
4/1/2005,947.9
5/1/2005,953
6/1/2005,958.8
7/1/2005,964.7
8/1/2005,964.8
9/1/2005,967.6
10/1/2005,972.8
11/1/2005,985.7
12/1/2005,995.7
1/1/2006,1008.1
2/1/2006,1012.7
3/1/2006,1017.8
4/1/2006,1022
5/1/2006,1016.6
6/1/2006,1007.8
7/1/2006,1007.3
8/1/2006,1009.2
9/1/2006,1011.6
10/1/2006,1005.8
11/1/2006,996
12/1/2006,989.5
1/1/2007,982.5
2/1/2007,977.3
3/1/2007,973.2
4/1/2007,966.8
5/1/2007,965.1
6/1/2007,964
7/1/2007,954.4
8/1/2007,942.1
9/1/2007,936.5
10/1/2007,921.6
11/1/2007,895
12/1/2007,896.4
1/1/2008,886.6
2/1/2008,874.5
3/1/2008,867.3
4/1/2008,854.6
5/1/2008,840.8
6/1/2008,824.8
7/1/2008,812.7
8/1/2008,800.3
9/1/2008,782.5
10/1/2008,766.4
11/1/2008,747.5
12/1/2008,732.4
1/1/2009,712.1
2/1/2009,688.8
3/1/2009,667.1
4/1/2009,655.8
5/1/2009,643.9
6/1/2009,634.9
7/1/2009,629.1
8/1/2009,620.8
9/1/2009,612.8
10/1/2009,606.4
11/1/2009,602.3
12/1/2009,596.2
1/1/2010,583.1
2/1/2010,578.3
3/1/2010,580.3
4/1/2010,579.8
5/1/2010,578.1
6/1/2010,577.2
7/1/2010,570.2
8/1/2010,568.7
9/1/2010,568
10/1/2010,563.3
11/1/2010,560.8
12/1/2010,559.7
1/1/2011,556.9
2/1/2011,559
3/1/2011,562.4
4/1/2011,563.5
5/1/2011,560.1
6/1/2011,567.5
7/1/2011,565.1
8/1/2011,564.4
9/1/2011,565.6
10/1/2011,571.7
11/1/2011,571.9
12/1/2011,575
1/1/2012,575.2
2/1/2012,576.8
3/1/2012,573
4/1/2012,572
5/1/2012,574
6/1/2012,576.2
7/1/2012,583.4
8/1/2012,584.8
9/1/2012,586.5
10/1/2012,582.7
11/1/2012,590.9
12/1/2012,594.7
1/1/2013,595.6
2/1/2013,597.9
3/1/2013,601.9
4/1/2013,607.6
5/1/2013,610.4
6/1/2013,610.8
7/1/2013,610.6
8/1/2013,613.8
9/1/2013,615.1
10/1/2013,621.2
11/1/2013,625.8
12/1/2013,628.6
1/1/2014,632.4
2/1/2014,641.6
3/1/2014,642.4
4/1/2014,650.5
5/1/2014,650
6/1/2014,657.1
7/1/2014,665.1
8/1/2014,669.8
9/1/2014,677.3
10/1/2014,674.1
11/1/2014,676.7
12/1/2014,672.6
1/1/2015,680.1
2/1/2015,680.4
3/1/2015,682.1
4/1/2015,684.7
5/1/2015,690
6/1/2015,688.5
7/1/2015,697.7
8/1/2015,698.2
9/1/2015,699.8
10/1/2015,702.6
11/1/2015,708.9
12/1/2015,712.9
1/1/2016,714.2
2/1/2016,717
3/1/2016,720.5
4/1/2016,726.2
5/1/2016,726.8
6/1/2016,727.4
7/1/2016,728.1
8/1/2016,734.3
9/1/2016,744.9
10/1/2016,743.8
11/1/2016,744
12/1/2016,741.9
1/1/2017,744.3
2/1/2017,747.6
3/1/2017,746.5
4/1/2017,745.1
5/1/2017,747.2
6/1/2017,747.5
7/1/2017,753.2
8/1/2017,752.7
9/1/2017,752.2
10/1/2017,759.7
11/1/2017,763.3
12/1/2017,772.5
1/1/2018,776.7
2/1/2018,785.2
3/1/2018,787.9
4/1/2018,792.9
5/1/2018,798.1
6/1/2018,802.2
7/1/2018,803
8/1/2018,802.1
9/1/2018,803.8
10/1/2018,803.4
11/1/2018,808.8
12/1/2018,812.7
1/1/2019,816.2
2/1/2019,813.7
3/1/2019,816.9
4/1/2019,811
5/1/2019,812.2
6/1/2019,815.6
7/1/2019,817.5
8/1/2019,824.7
9/1/2019,825.8
10/1/2019,828.6
11/1/2019,830.7
12/1/2019,828.2
1/1/2020,828.4
2/1/2020,837.2
3/1/2020,833.5
4/1/2020,708.4
5/1/2020,773.6
6/1/2020,793.6
7/1/2020,803.1
8/1/2020,810
9/1/2020,818.9
10/1/2020,827.2
11/1/2020,828
12/1/2020,837.6
1/1/2021,842.5
2/1/2021,846.2
3/1/2021,858
4/1/2021,854.3
5/1/2021,855.8
6/1/2021,857.8
7/1/2021,867.2
8/1/2021,873.6
9/1/2021,879.9
10/1/2021,882.8
11/1/2021,889.2
12/1/2021,896.4
1/1/2022,902.9
2/1/2022,910.6
3/1/2022,913.6
4/1/2022,918.3
5/1/2022,925.1
6/1/2022,921.4
7/1/2022,924.1
8/1/2022,924.5
9/1/2022,924.6
10/1/2022,929.5
11/1/2022,929
12/1/2022,934.3
1/1/2023,935.8
2/1/2023,931.7
3/1/2023,931.6
4/1/2023,928.1
5/1/2023,927.8
6/1/2023,929.5
7/1/2023,922.6
8/1/2023,922.4
9/1/2023,921.4
10/1/2023,922.4
11/1/2023,923.4
12/1/2023,924.4
1/1/2024,936.8
2/1/2024,941.7
3/1/2024,931.7
4/1/2024,929.1
5/1/2024,928.8
6/1/2024,927.5
7/1/2024,926.6
8/1/2024,927.4
9/1/2024,931.4
10/1/2024,922.7
11/1/2024,927.4
12/1/2024,974.4
1/1/2025,965.8
2/1/2025,971.7
3/1/2025,956.6
4/1/2025,928.1
