DATE,home_ow_rate
1/1/2005,69.2
2/1/2005,69.2
3/1/2005,69.2
4/1/2005,68.7
5/1/2005,68.7
6/1/2005,68.7
7/1/2005,68.7
8/1/2005,68.7
9/1/2005,68.7
10/1/2005,68.9
11/1/2005,68.9
12/1/2005,68.9
1/1/2006,68.6
2/1/2006,68.6
3/1/2006,68.6
4/1/2006,68.8
5/1/2006,68.8
6/1/2006,68.8
7/1/2006,68.9
8/1/2006,68.9
9/1/2006,68.9
10/1/2006,68.8
11/1/2006,68.8
12/1/2006,68.8
1/1/2007,68.5
2/1/2007,68.5
3/1/2007,68.5
4/1/2007,68.3
5/1/2007,68.3
6/1/2007,68.3
7/1/2007,68
8/1/2007,68
9/1/2007,68
10/1/2007,67.8
11/1/2007,67.8
12/1/2007,67.8
1/1/2008,67.9
2/1/2008,67.9
3/1/2008,67.9
4/1/2008,68.1
5/1/2008,68.1
6/1/2008,68.1
7/1/2008,67.7
8/1/2008,67.7
9/1/2008,67.7
10/1/2008,67.5
11/1/2008,67.5
12/1/2008,67.5
1/1/2009,67.4
2/1/2009,67.4
3/1/2009,67.4
4/1/2009,67.4
5/1/2009,67.4
6/1/2009,67.4
7/1/2009,67.4
8/1/2009,67.4
9/1/2009,67.4
10/1/2009,67.2
11/1/2009,67.2
12/1/2009,67.2
1/1/2010,67.2
2/1/2010,67.2
3/1/2010,67.2
4/1/2010,66.9
5/1/2010,66.9
6/1/2010,66.9
7/1/2010,66.7
8/1/2010,66.7
9/1/2010,66.7
10/1/2010,66.5
11/1/2010,66.5
12/1/2010,66.5
1/1/2011,66.5
2/1/2011,66.5
3/1/2011,66.5
4/1/2011,66
5/1/2011,66
6/1/2011,66
7/1/2011,66.1
8/1/2011,66.1
9/1/2011,66.1
10/1/2011,65.9
11/1/2011,65.9
12/1/2011,65.9
1/1/2012,65.6
2/1/2012,65.6
3/1/2012,65.6
4/1/2012,65.6
5/1/2012,65.6
6/1/2012,65.6
7/1/2012,65.4
8/1/2012,65.4
9/1/2012,65.4
10/1/2012,65.3
11/1/2012,65.3
12/1/2012,65.3
1/1/2013,65.2
2/1/2013,65.2
3/1/2013,65.2
4/1/2013,65.1
5/1/2013,65.1
6/1/2013,65.1
7/1/2013,65.2
8/1/2013,65.2
9/1/2013,65.2
10/1/2013,65.1
11/1/2013,65.1
12/1/2013,65.1
1/1/2014,64.9
2/1/2014,64.9
3/1/2014,64.9
4/1/2014,64.8
5/1/2014,64.8
6/1/2014,64.8
7/1/2014,64.3
8/1/2014,64.3
9/1/2014,64.3
10/1/2014,63.9
11/1/2014,63.9
12/1/2014,63.9
1/1/2015,63.8
2/1/2015,63.8
3/1/2015,63.8
4/1/2015,63.5
5/1/2015,63.5
6/1/2015,63.5
7/1/2015,63.6
8/1/2015,63.6
9/1/2015,63.6
10/1/2015,63.7
11/1/2015,63.7
12/1/2015,63.7
1/1/2016,63.5
2/1/2016,63.5
3/1/2016,63.5
4/1/2016,63.1
5/1/2016,63.1
6/1/2016,63.1
7/1/2016,63.4
8/1/2016,63.4
9/1/2016,63.4
10/1/2016,63.5
11/1/2016,63.5
12/1/2016,63.5
1/1/2017,63.6
2/1/2017,63.6
3/1/2017,63.6
4/1/2017,63.9
5/1/2017,63.9
6/1/2017,63.9
7/1/2017,63.9
8/1/2017,63.9
9/1/2017,63.9
10/1/2017,64
11/1/2017,64
12/1/2017,64
1/1/2018,64.2
2/1/2018,64.2
3/1/2018,64.2
4/1/2018,64.5
5/1/2018,64.5
6/1/2018,64.5
7/1/2018,64.4
8/1/2018,64.4
9/1/2018,64.4
10/1/2018,64.6
11/1/2018,64.6
12/1/2018,64.6
1/1/2019,64.2
2/1/2019,64.2
3/1/2019,64.2
4/1/2019,64.3
5/1/2019,64.3
6/1/2019,64.3
7/1/2019,64.7
8/1/2019,64.7
9/1/2019,64.7
10/1/2019,65
11/1/2019,65
12/1/2019,65
1/1/2020,65.3
2/1/2020,65.3
3/1/2020,65.3
4/1/2020,68
5/1/2020,68
6/1/2020,68
7/1/2020,67.3
8/1/2020,67.3
9/1/2020,67.3
10/1/2020,65.7
11/1/2020,65.7
12/1/2020,65.7
1/1/2021,65.6
2/1/2021,65.6
3/1/2021,65.6
4/1/2021,65.5
5/1/2021,65.5
6/1/2021,65.5
7/1/2021,65.4
8/1/2021,65.4
9/1/2021,65.4
10/1/2021,65.5
11/1/2021,65.5
12/1/2021,65.5
1/1/2022,65.4
2/1/2022,65.4
3/1/2022,65.4
4/1/2022,65.9
5/1/2022,65.9
6/1/2022,65.9
7/1/2022,66
8/1/2022,66
9/1/2022,66
10/1/2022,65.9
11/1/2022,65.9
12/1/2022,65.9
1/1/2023,66
2/1/2023,66
3/1/2023,66
4/1/2023,65.9
5/1/2023,65.9
6/1/2023,65.9
7/1/2023,66
8/1/2023,66.1
9/1/2023,66.1
10/1/2023,66.2
11/1/2023,66.3
12/1/2023,66.4
1/1/2024,66
2/1/2024,67
3/1/2024,67
4/1/2024,65.8
5/1/2024,64.9
6/1/2024,65.9
7/1/2024,66
8/1/2024,66.1
9/1/2024,66.6
10/1/2024,66.4
11/1/2024,66.7
12/1/2024,66.4
1/1/2025,66.1
2/1/2025,66
3/1/2025,66.3
4/1/2025,65.9
