DATE,labor_percent
1/1/2005,65.8
2/1/2005,65.9
3/1/2005,65.9
4/1/2005,66.1
5/1/2005,66.1
6/1/2005,66.1
7/1/2005,66.1
8/1/2005,66.2
9/1/2005,66.1
10/1/2005,66.1
11/1/2005,66
12/1/2005,66
1/1/2006,66
2/1/2006,66.1
3/1/2006,66.2
4/1/2006,66.1
5/1/2006,66.1
6/1/2006,66.2
7/1/2006,66.1
8/1/2006,66.2
9/1/2006,66.1
10/1/2006,66.2
11/1/2006,66.3
12/1/2006,66.4
1/1/2007,66.4
2/1/2007,66.3
3/1/2007,66.2
4/1/2007,65.9
5/1/2007,66
6/1/2007,66
7/1/2007,66
8/1/2007,65.8
9/1/2007,66
10/1/2007,65.8
11/1/2007,66
12/1/2007,66
1/1/2008,66.2
2/1/2008,66
3/1/2008,66.1
4/1/2008,65.9
5/1/2008,66.1
6/1/2008,66.1
7/1/2008,66.1
8/1/2008,66.1
9/1/2008,66
10/1/2008,66
11/1/2008,65.9
12/1/2008,65.8
1/1/2009,65.7
2/1/2009,65.8
3/1/2009,65.6
4/1/2009,65.7
5/1/2009,65.7
6/1/2009,65.7
7/1/2009,65.5
8/1/2009,65.4
9/1/2009,65.1
10/1/2009,65
11/1/2009,65
12/1/2009,64.6
1/1/2010,64.8
2/1/2010,64.9
3/1/2010,64.9
4/1/2010,65.2
5/1/2010,64.9
6/1/2010,64.6
7/1/2010,64.6
8/1/2010,64.7
9/1/2010,64.6
10/1/2010,64.4
11/1/2010,64.6
12/1/2010,64.3
1/1/2011,64.2
2/1/2011,64.1
3/1/2011,64.2
4/1/2011,64.2
5/1/2011,64.1
6/1/2011,64
7/1/2011,64
8/1/2011,64.1
9/1/2011,64.2
10/1/2011,64.1
11/1/2011,64.1
12/1/2011,64
1/1/2012,63.7
2/1/2012,63.8
3/1/2012,63.8
4/1/2012,63.7
5/1/2012,63.7
6/1/2012,63.8
7/1/2012,63.7
8/1/2012,63.5
9/1/2012,63.6
10/1/2012,63.8
11/1/2012,63.6
12/1/2012,63.7
1/1/2013,63.7
2/1/2013,63.4
3/1/2013,63.3
4/1/2013,63.4
5/1/2013,63.4
6/1/2013,63.4
7/1/2013,63.3
8/1/2013,63.3
9/1/2013,63.2
10/1/2013,62.8
11/1/2013,63
12/1/2013,62.9
1/1/2014,62.9
2/1/2014,62.9
3/1/2014,63.1
4/1/2014,62.8
5/1/2014,62.9
6/1/2014,62.8
7/1/2014,62.9
8/1/2014,62.9
9/1/2014,62.8
10/1/2014,62.9
11/1/2014,62.9
12/1/2014,62.8
1/1/2015,62.9
2/1/2015,62.7
3/1/2015,62.6
4/1/2015,62.8
5/1/2015,62.9
6/1/2015,62.7
7/1/2015,62.6
8/1/2015,62.6
9/1/2015,62.4
10/1/2015,62.5
11/1/2015,62.5
12/1/2015,62.7
1/1/2016,62.7
2/1/2016,62.8
3/1/2016,63
4/1/2016,62.9
5/1/2016,62.7
6/1/2016,62.7
7/1/2016,62.8
8/1/2016,62.9
9/1/2016,62.9
10/1/2016,62.8
11/1/2016,62.7
12/1/2016,62.7
1/1/2017,62.8
2/1/2017,62.9
3/1/2017,62.9
4/1/2017,63
5/1/2017,62.8
6/1/2017,62.8
7/1/2017,62.9
8/1/2017,62.9
9/1/2017,63.1
10/1/2017,62.7
11/1/2017,62.7
12/1/2017,62.7
1/1/2018,62.7
2/1/2018,63
3/1/2018,62.9
4/1/2018,62.9
5/1/2018,62.9
6/1/2018,63
7/1/2018,63
8/1/2018,62.6
9/1/2018,62.8
10/1/2018,62.9
11/1/2018,62.9
12/1/2018,63
1/1/2019,63.1
2/1/2019,63.1
3/1/2019,63
4/1/2019,62.9
5/1/2019,62.9
6/1/2019,63
7/1/2019,63.1
8/1/2019,63.1
9/1/2019,63.2
10/1/2019,63.3
11/1/2019,63.3
12/1/2019,63.3
1/1/2020,63.3
2/1/2020,63.3
3/1/2020,62.6
4/1/2020,60.1
5/1/2020,60.8
6/1/2020,61.5
7/1/2020,61.5
8/1/2020,61.7
9/1/2020,61.4
10/1/2020,61.7
11/1/2020,61.5
12/1/2020,61.5
1/1/2021,61.3
2/1/2021,61.4
3/1/2021,61.5
4/1/2021,61.6
5/1/2021,61.5
6/1/2021,61.7
7/1/2021,61.8
8/1/2021,61.7
9/1/2021,61.7
10/1/2021,61.8
11/1/2021,61.9
12/1/2021,62
1/1/2022,62.2
2/1/2022,62.2
3/1/2022,62.4
4/1/2022,62.2
5/1/2022,62.3
6/1/2022,62.2
7/1/2022,62.1
8/1/2022,62.3
9/1/2022,62.3
10/1/2022,62.2
11/1/2022,62.2
12/1/2022,62.3
1/1/2023,62.4
2/1/2023,62.5
3/1/2023,62.6
4/1/2023,62.6
5/1/2023,62.6
6/1/2023,62.6
7/1/2023,62.6
8/1/2023,62.3
9/1/2023,62.3
10/1/2023,62.3
11/1/2023,62.4
12/1/2023,62.3
1/1/2024,62.4
2/1/2024,62.3
3/1/2024,62.1
4/1/2024,63.6
5/1/2024,62.4
6/1/2024,61.6
7/1/2024,62.7
8/1/2024,62.2
9/1/2024,62.1
10/1/2024,62
11/1/2024,62.6
12/1/2024,62.6
1/1/2025,62.4
2/1/2025,62.2
3/1/2025,62.3
4/1/2025,62.6
