DATE,monthly_supply
1/1/2005,4.4
2/1/2005,4.3
3/1/2005,4.1
4/1/2005,4.3
5/1/2005,4.2
6/1/2005,4.3
7/1/2005,4.2
8/1/2005,4.5
9/1/2005,4.7
10/1/2005,4.5
11/1/2005,5
12/1/2005,4.9
1/1/2006,5.3
2/1/2006,6.1
3/1/2006,5.9
4/1/2006,6.3
5/1/2006,6.2
6/1/2006,6.3
7/1/2006,7.3
8/1/2006,6.7
9/1/2006,6.7
10/1/2006,7.3
11/1/2006,6.6
12/1/2006,6.5
1/1/2007,7.2
2/1/2007,7.9
3/1/2007,7.9
4/1/2007,7.4
5/1/2007,7.8
6/1/2007,8.2
7/1/2007,8.3
8/1/2007,9.2
9/1/2007,9.2
10/1/2007,8.5
11/1/2007,9.4
12/1/2007,9.6
1/1/2008,9.3
2/1/2008,9.7
3/1/2008,10.5
4/1/2008,10.3
5/1/2008,10.7
6/1/2008,10.7
7/1/2008,10.5
8/1/2008,11.3
9/1/2008,10.9
10/1/2008,11.6
11/1/2008,11.4
12/1/2008,11.2
1/1/2009,12.2
2/1/2009,10.5
3/1/2009,11
4/1/2009,10.7
5/1/2009,9.3
6/1/2009,8.5
7/1/2009,7.9
8/1/2009,7.5
9/1/2009,7.8
10/1/2009,7.4
11/1/2009,7.6
12/1/2009,8
1/1/2010,8.1
2/1/2010,8.3
3/1/2010,7.1
4/1/2010,6.2
5/1/2010,9.3
6/1/2010,8.3
7/1/2010,8.9
8/1/2010,8.8
9/1/2010,7.6
10/1/2010,8.2
11/1/2010,8.2
12/1/2010,7
1/1/2011,7.3
2/1/2011,8.1
3/1/2011,7.2
4/1/2011,6.7
5/1/2011,6.6
6/1/2011,6.6
7/1/2011,6.7
8/1/2011,6.5
9/1/2011,6.3
10/1/2011,6
11/1/2011,5.7
12/1/2011,5.3
1/1/2012,5.3
2/1/2012,4.8
3/1/2012,4.9
4/1/2012,4.9
5/1/2012,4.7
6/1/2012,4.8
7/1/2012,4.6
8/1/2012,4.6
9/1/2012,4.5
10/1/2012,4.9
11/1/2012,4.6
12/1/2012,4.5
1/1/2013,4
2/1/2013,4.1
3/1/2013,4.2
4/1/2013,4.4
5/1/2013,4.6
6/1/2013,4.1
7/1/2013,5.5
8/1/2013,5.5
9/1/2013,5.4
10/1/2013,4.9
11/1/2013,5
12/1/2013,5.2
1/1/2014,5.1
2/1/2014,5.3
3/1/2014,5.6
4/1/2014,5.7
5/1/2014,5.2
6/1/2014,5.7
7/1/2014,6.2
8/1/2014,5.4
9/1/2014,5.4
10/1/2014,5.3
11/1/2014,5.7
12/1/2014,5.1
1/1/2015,4.8
2/1/2015,4.5
3/1/2015,5.1
4/1/2015,4.9
5/1/2015,5
6/1/2015,5.4
7/1/2015,5.2
8/1/2015,5
9/1/2015,5.9
10/1/2015,5.6
11/1/2015,5.5
12/1/2015,5.1
1/1/2016,5.6
2/1/2016,5.5
3/1/2016,5.5
4/1/2016,5
5/1/2016,5.1
6/1/2016,5.3
7/1/2016,4.5
8/1/2016,5
9/1/2016,5.2
10/1/2016,5.2
11/1/2016,5.2
12/1/2016,5.4
1/1/2017,5.4
2/1/2017,5.3
3/1/2017,5
4/1/2017,5.4
5/1/2017,5.1
6/1/2017,5.3
7/1/2017,5.8
8/1/2017,6.1
9/1/2017,5.3
10/1/2017,5.5
11/1/2017,4.8
12/1/2017,5.6
1/1/2018,6
2/1/2018,5.7
3/1/2018,5.2
4/1/2018,5.6
5/1/2018,5.5
6/1/2018,5.8
7/1/2018,6
8/1/2018,6.5
9/1/2018,6.6
10/1/2018,7.2
11/1/2018,6.4
12/1/2018,7.6
1/1/2019,7
2/1/2019,6.4
3/1/2019,5.7
4/1/2019,5.8
5/1/2019,6.7
6/1/2019,5.2
7/1/2019,5.9
8/1/2019,5.4
9/1/2019,5.4
10/1/2019,5.3
11/1/2019,5.4
12/1/2019,5.6
1/1/2020,5.7
2/1/2020,5.6
3/1/2020,6.5
4/1/2020,6.9
5/1/2020,5.4
6/1/2020,3.8
7/1/2020,3.4
8/1/2020,3.3
9/1/2020,3.4
10/1/2020,3.3
11/1/2020,4
12/1/2020,4.1
1/1/2021,4
2/1/2021,4.9
3/1/2021,4.4
4/1/2021,4.7
5/1/2021,5.6
6/1/2021,5.8
7/1/2021,5.7
8/1/2021,6.5
9/1/2021,6
10/1/2021,6.8
11/1/2021,6
12/1/2021,5.6
1/1/2022,5.8
2/1/2022,6.2
3/1/2022,7
4/1/2022,8.5
5/1/2022,8.3
6/1/2022,9.5
7/1/2022,10.1
8/1/2022,8.7
9/1/2022,9.7
10/1/2022,9.7
11/1/2022,9.4
12/1/2022,8.5
1/1/2023,8.1
2/1/2023,8.4
3/1/2023,8.1
4/1/2023,7.6
5/1/2023,7.2
6/1/2023,7.5
7/1/2023,7
8/1/2023,7
9/1/2023,7
10/1/2023,7.1
11/1/2023,7.1
12/1/2023,7.1
1/1/2024,8.1
2/1/2024,8.3
3/1/2024,8.7
4/1/2024,7.7
5/1/2024,7.2
6/1/2024,7.5
7/1/2024,7.1
8/1/2024,7.3
9/1/2024,7
10/1/2024,7.7
11/1/2024,7.3
12/1/2024,7.8
1/1/2025,8.9
2/1/2025,8.4
3/1/2025,8.7
4/1/2025,7.6
