DATE,new_private_house
1/1/2005,1892
2/1/2005,1908
3/1/2005,1787
4/1/2005,1927
5/1/2005,2103
6/1/2005,1965
7/1/2005,1886
8/1/2005,1952
9/1/2005,1922
10/1/2005,1962
11/1/2005,1907
12/1/2005,1941
1/1/2006,2036
2/1/2006,2048
3/1/2006,2245
4/1/2006,2071
5/1/2006,1897
6/1/2006,2050
7/1/2006,1934
8/1/2006,1877
9/1/2006,2011
10/1/2006,1918
11/1/2006,1893
12/1/2006,1888
1/1/2007,1822
2/1/2007,1640
3/1/2007,1623
4/1/2007,1539
5/1/2007,1536
6/1/2007,1481
7/1/2007,1534
8/1/2007,1512
9/1/2007,1356
10/1/2007,1405
11/1/2007,1390
12/1/2007,1328
1/1/2008,1331
2/1/2008,1274
3/1/2008,1195
4/1/2008,1022
5/1/2008,1142
6/1/2008,1142
7/1/2008,1087
8/1/2008,1017
9/1/2008,1160
10/1/2008,1055
11/1/2008,1076
12/1/2008,1021
1/1/2009,777
2/1/2009,819
3/1/2009,839
4/1/2009,846
5/1/2009,818
6/1/2009,797
7/1/2009,797
8/1/2009,792
9/1/2009,721
10/1/2009,746
11/1/2009,844
12/1/2009,750
1/1/2010,689
2/1/2010,670
3/1/2010,635
4/1/2010,737
5/1/2010,702
6/1/2010,894
7/1/2010,572
8/1/2010,592
9/1/2010,632
10/1/2010,605
11/1/2010,552
12/1/2010,565
1/1/2011,520
2/1/2011,615
3/1/2011,591
4/1/2011,549
5/1/2011,549
6/1/2011,579
7/1/2011,634
8/1/2011,614
9/1/2011,603
10/1/2011,566
11/1/2011,585
12/1/2011,610
1/1/2012,545
2/1/2012,561
3/1/2012,582
4/1/2012,671
5/1/2012,626
6/1/2012,625
7/1/2012,676
8/1/2012,684
9/1/2012,652
10/1/2012,730
11/1/2012,668
12/1/2012,677
1/1/2013,714
2/1/2013,729
3/1/2013,816
4/1/2013,712
5/1/2013,708
6/1/2013,736
7/1/2013,784
8/1/2013,765
9/1/2013,776
10/1/2013,801
11/1/2013,839
12/1/2013,778
1/1/2014,838
2/1/2014,876
3/1/2014,893
4/1/2014,834
5/1/2014,891
6/1/2014,800
7/1/2014,839
8/1/2014,908
9/1/2014,975
10/1/2014,920
11/1/2014,863
12/1/2014,955
1/1/2015,954
2/1/2015,863
3/1/2015,781
4/1/2015,1001
5/1/2015,1012
6/1/2015,962
7/1/2015,988
8/1/2015,974
9/1/2015,1040
10/1/2015,985
11/1/2015,1000
12/1/2015,1023
1/1/2016,1056
2/1/2016,1037
3/1/2016,1003
4/1/2016,945
5/1/2016,1000
6/1/2016,1109
7/1/2016,1072
8/1/2016,1054
9/1/2016,1035
10/1/2016,1070
11/1/2016,1244
12/1/2016,1101
1/1/2017,1081
2/1/2017,1148
3/1/2017,1147
4/1/2017,1069
5/1/2017,1170
6/1/2017,1236
7/1/2017,1173
8/1/2017,1107
9/1/2017,1113
10/1/2017,1196
11/1/2017,1182
12/1/2017,1200
1/1/2018,1208
2/1/2018,1288
3/1/2018,1181
4/1/2018,1224
5/1/2018,1262
6/1/2018,1212
7/1/2018,1150
8/1/2018,1262
9/1/2018,1187
10/1/2018,1122
11/1/2018,1131
12/1/2018,1053
1/1/2019,1258
2/1/2019,1334
3/1/2019,1301
4/1/2019,1329
5/1/2019,1226
6/1/2019,1169
7/1/2019,1219
8/1/2019,1294
9/1/2019,1150
10/1/2019,1294
11/1/2019,1244
12/1/2019,1310
1/1/2020,1302
2/1/2020,1271
3/1/2020,1247
4/1/2020,1207
5/1/2020,1171
6/1/2020,1244
7/1/2020,1314
8/1/2020,1238
9/1/2020,1446
10/1/2020,1370
11/1/2020,1240
12/1/2020,1386
1/1/2021,1344
2/1/2021,1322
3/1/2021,1459
4/1/2021,1438
5/1/2021,1337
6/1/2021,1298
7/1/2021,1361
8/1/2021,1312
9/1/2021,1232
10/1/2021,1259
11/1/2021,1389
12/1/2021,1337
1/1/2022,1256
2/1/2022,1371
3/1/2022,1356
4/1/2022,1361
5/1/2022,1446
6/1/2022,1392
7/1/2022,1396
8/1/2022,1355
9/1/2022,1438
10/1/2022,1348
11/1/2022,1543
12/1/2022,1390
1/1/2023,1377
2/1/2023,1577
3/1/2023,1528
4/1/2023,1416
5/1/2023,1534
6/1/2023,1492
7/1/2023,1334
8/1/2023,5311.219
9/1/2023,5311.229
10/1/2023,5311.219
11/1/2023,5311.219
12/1/2023,5311.219
1/1/2024,5520.649086
2/1/2024,6512.914619
3/1/2024,6267.106393
4/1/2024,5711.801065
5/1/2024,6297.113648
6/1/2024,6087.608141
7/1/2024,5311.26497
8/1/2024,5312.219
9/1/2024,5313.229
10/1/2024,5411.219
11/1/2024,5391.219
12/1/2024,5391.219
1/1/2025,5520.649089
2/1/2025,6512.914679
3/1/2025,6267.106398
4/1/2025,5711.807786
