DATE,permit
1/1/2005,2139
2/1/2005,2114
3/1/2005,2062
4/1/2005,2150
5/1/2005,2085
6/1/2005,2178
7/1/2005,2203
8/1/2005,2219
9/1/2005,2263
10/1/2005,2170
11/1/2005,2218
12/1/2005,2120
1/1/2006,2212
2/1/2006,2141
3/1/2006,2118
4/1/2006,1998
5/1/2006,1905
6/1/2006,1867
7/1/2006,1763
8/1/2006,1722
9/1/2006,1655
10/1/2006,1570
11/1/2006,1535
12/1/2006,1638
1/1/2007,1626
2/1/2007,1598
3/1/2007,1596
4/1/2007,1470
5/1/2007,1493
6/1/2007,1407
7/1/2007,1361
8/1/2007,1321
9/1/2007,1261
10/1/2007,1192
11/1/2007,1224
12/1/2007,1149
1/1/2008,1094
2/1/2008,1014
3/1/2008,967
4/1/2008,1008
5/1/2008,995
6/1/2008,1180
7/1/2008,921
8/1/2008,858
9/1/2008,797
10/1/2008,736
11/1/2008,626
12/1/2008,554
1/1/2009,545
2/1/2009,558
3/1/2009,513
4/1/2009,521
5/1/2009,556
6/1/2009,601
7/1/2009,595
8/1/2009,616
9/1/2009,609
10/1/2009,583
11/1/2009,623
12/1/2009,664
1/1/2010,636
2/1/2010,650
3/1/2010,687
4/1/2010,637
5/1/2010,575
6/1/2010,587
7/1/2010,579
8/1/2010,580
9/1/2010,563
10/1/2010,558
11/1/2010,560
12/1/2010,632
1/1/2011,576
2/1/2011,542
3/1/2011,583
4/1/2011,581
5/1/2011,618
6/1/2011,636
7/1/2011,621
8/1/2011,647
9/1/2011,610
10/1/2011,671
11/1/2011,706
12/1/2011,697
1/1/2012,712
2/1/2012,738
3/1/2012,806
4/1/2012,732
5/1/2012,796
6/1/2012,794
7/1/2012,849
8/1/2012,840
9/1/2012,930
10/1/2012,887
11/1/2012,917
12/1/2012,941
1/1/2013,940
2/1/2013,980
3/1/2013,936
4/1/2013,1012
5/1/2013,1003
6/1/2013,942
7/1/2013,997
8/1/2013,964
9/1/2013,1004
10/1/2013,1044
11/1/2013,1029
12/1/2013,1005
1/1/2014,976
2/1/2014,1039
3/1/2014,1067
4/1/2014,1090
5/1/2014,1018
6/1/2014,1010
7/1/2014,1076
8/1/2014,1047
9/1/2014,1077
10/1/2014,1094
11/1/2014,1059
12/1/2014,1072
1/1/2015,1049
2/1/2015,1127
3/1/2015,1072
4/1/2015,1166
5/1/2015,1272
6/1/2015,1379
7/1/2015,1140
8/1/2015,1165
9/1/2015,1144
10/1/2015,1160
11/1/2015,1244
12/1/2015,1211
1/1/2016,1171
2/1/2016,1172
3/1/2016,1118
4/1/2016,1160
5/1/2016,1205
6/1/2016,1208
7/1/2016,1198
8/1/2016,1201
9/1/2016,1303
10/1/2016,1254
11/1/2016,1230
12/1/2016,1248
1/1/2017,1296
2/1/2017,1237
3/1/2017,1273
4/1/2017,1239
5/1/2017,1205
6/1/2017,1353
7/1/2017,1254
8/1/2017,1336
9/1/2017,1277
10/1/2017,1360
11/1/2017,1295
12/1/2017,1312
1/1/2018,1311
2/1/2018,1331
3/1/2018,1381
4/1/2018,1365
5/1/2018,1331
6/1/2018,1338
7/1/2018,1333
8/1/2018,1293
9/1/2018,1320
10/1/2018,1280
11/1/2018,1334
12/1/2018,1320
1/1/2019,1254
2/1/2019,1302
3/1/2019,1291
4/1/2019,1298
5/1/2019,1338
6/1/2019,1301
7/1/2019,1347
8/1/2019,1528
9/1/2019,1491
10/1/2019,1538
11/1/2019,1522
12/1/2019,1461
1/1/2020,1500
2/1/2020,1440
3/1/2020,1348
4/1/2020,1050
5/1/2020,1253
6/1/2020,1329
7/1/2020,1526
8/1/2020,1564
9/1/2020,1643
10/1/2020,1622
11/1/2020,1713
12/1/2020,1760
1/1/2021,1866
2/1/2021,1700
3/1/2021,1731
4/1/2021,1714
5/1/2021,1680
6/1/2021,1644
7/1/2021,1618
8/1/2021,1837
9/1/2021,1636
10/1/2021,1727
11/1/2021,1775
12/1/2021,1948
1/1/2022,1898
2/1/2022,1817
3/1/2022,1877
4/1/2022,1795
5/1/2022,1708
6/1/2022,1701
7/1/2022,1658
8/1/2022,1586
9/1/2022,1588
10/1/2022,1555
11/1/2022,1402
12/1/2022,1409
1/1/2023,1354
2/1/2023,1482
3/1/2023,1437
4/1/2023,1417
5/1/2023,1496
6/1/2023,1441
7/1/2023,1443
8/1/2023,1442
9/1/2023,1442
10/1/2023,1443
11/1/2023,1443
12/1/2023,1443
1/1/2024,1354
2/1/2024,1582
3/1/2024,1477
4/1/2024,1427
5/1/2024,1466
6/1/2024,1446
7/1/2024,1453
8/1/2024,1432
9/1/2024,1446
10/1/2024,1473
11/1/2024,1483
12/1/2024,1446
1/1/2025,1354
2/1/2025,1462
3/1/2025,1537
4/1/2025,1427
