DATE,total_emp_cons
1/1/2005,7095
2/1/2005,7153
3/1/2005,7181
4/1/2005,7266
5/1/2005,7294
6/1/2005,7333
7/1/2005,7353
8/1/2005,7394
9/1/2005,7415
10/1/2005,7460
11/1/2005,7524
12/1/2005,7533
1/1/2006,7601
2/1/2006,7664
3/1/2006,7689
4/1/2006,7726
5/1/2006,7713
6/1/2006,7699
7/1/2006,7712
8/1/2006,7720
9/1/2006,7718
10/1/2006,7682
11/1/2006,7666
12/1/2006,7685
1/1/2007,7725
2/1/2007,7626
3/1/2007,7706
4/1/2007,7686
5/1/2007,7673
6/1/2007,7687
7/1/2007,7660
8/1/2007,7610
9/1/2007,7577
10/1/2007,7565
11/1/2007,7523
12/1/2007,7490
1/1/2008,7476
2/1/2008,7453
3/1/2008,7406
4/1/2008,7327
5/1/2008,7274
6/1/2008,7213
7/1/2008,7160
8/1/2008,7114
9/1/2008,7044
10/1/2008,6967
11/1/2008,6813
12/1/2008,6701
1/1/2009,6567
2/1/2009,6446
3/1/2009,6291
4/1/2009,6154
5/1/2009,6100
6/1/2009,6010
7/1/2009,5932
8/1/2009,5855
9/1/2009,5787
10/1/2009,5716
11/1/2009,5696
12/1/2009,5654
1/1/2010,5580
2/1/2010,5500
3/1/2010,5537
4/1/2010,5553
5/1/2010,5520
6/1/2010,5516
7/1/2010,5508
8/1/2010,5524
9/1/2010,5501
10/1/2010,5508
11/1/2010,5506
12/1/2010,5467
1/1/2011,5427
2/1/2011,5451
3/1/2011,5477
4/1/2011,5485
5/1/2011,5516
6/1/2011,5528
7/1/2011,5547
8/1/2011,5552
9/1/2011,5584
10/1/2011,5588
11/1/2011,5593
12/1/2011,5611
1/1/2012,5626
2/1/2012,5629
3/1/2012,5625
4/1/2012,5618
5/1/2012,5604
6/1/2012,5621
7/1/2012,5632
8/1/2012,5648
9/1/2012,5661
10/1/2012,5674
11/1/2012,5684
12/1/2012,5724
1/1/2013,5746
2/1/2013,5784
3/1/2013,5802
4/1/2013,5796
5/1/2013,5829
6/1/2013,5855
7/1/2013,5859
8/1/2013,5878
9/1/2013,5910
10/1/2013,5931
11/1/2013,5963
12/1/2013,5932
1/1/2014,5985
2/1/2014,6007
3/1/2014,6038
4/1/2014,6084
5/1/2014,6109
6/1/2014,6133
7/1/2014,6178
8/1/2014,6210
9/1/2014,6242
10/1/2014,6259
11/1/2014,6272
12/1/2014,6293
1/1/2015,6320
2/1/2015,6361
3/1/2015,6334
4/1/2015,6392
5/1/2015,6427
6/1/2015,6441
7/1/2015,6472
8/1/2015,6490
9/1/2015,6508
10/1/2015,6547
11/1/2015,6598
12/1/2015,6630
1/1/2016,6631
2/1/2016,6640
3/1/2016,6678
4/1/2016,6702
5/1/2016,6689
6/1/2016,6701
7/1/2016,6735
8/1/2016,6736
9/1/2016,6768
10/1/2016,6799
11/1/2016,6823
12/1/2016,6818
1/1/2017,6840
2/1/2017,6881
3/1/2017,6902
4/1/2017,6916
5/1/2017,6931
6/1/2017,6962
7/1/2017,6968
8/1/2017,7002
9/1/2017,7013
10/1/2017,7031
11/1/2017,7068
12/1/2017,7091
1/1/2018,7093
2/1/2018,7184
3/1/2018,7194
4/1/2018,7212
5/1/2018,7274
6/1/2018,7292
7/1/2018,7318
8/1/2018,7347
9/1/2018,7375
10/1/2018,7389
11/1/2018,7386
12/1/2018,7396
1/1/2019,7424
2/1/2019,7396
3/1/2019,7422
4/1/2019,7459
5/1/2019,7486
6/1/2019,7511
7/1/2019,7525
8/1/2019,7530
9/1/2019,7551
10/1/2019,7556
11/1/2019,7545
12/1/2019,7528
1/1/2020,7580
2/1/2020,7608
3/1/2020,7539
4/1/2020,6527
5/1/2020,7009
6/1/2020,7170
7/1/2020,7195
8/1/2020,7225
9/1/2020,7256
10/1/2020,7310
11/1/2020,7317
12/1/2020,7355
1/1/2021,7363
2/1/2021,7291
3/1/2021,7395
4/1/2021,7406
5/1/2021,7394
6/1/2021,7400
7/1/2021,7415
8/1/2021,7431
9/1/2021,7472
10/1/2021,7514
11/1/2021,7560
12/1/2021,7594
1/1/2022,7590
2/1/2022,7669
3/1/2022,7692
4/1/2022,7698
5/1/2022,7736
6/1/2022,7749
7/1/2022,7773
8/1/2022,7781
9/1/2022,7797
10/1/2022,7814
11/1/2022,7833
12/1/2022,7859
1/1/2023,7885
2/1/2023,7899
3/1/2023,7890
4/1/2023,7901
5/1/2023,7926
6/1/2023,7955
7/1/2023,7967
8/1/2023,7967
9/1/2023,7968
10/1/2023,7969
11/1/2023,7969
12/1/2023,7968
1/1/2024,7895
2/1/2024,7897
3/1/2024,7889
4/1/2024,7981
5/1/2024,7886
6/1/2024,7915
7/1/2024,7997
8/1/2024,7787
9/1/2024,7868
10/1/2024,7989
11/1/2024,7969
12/1/2024,7978
1/1/2025,7895
2/1/2025,7899
3/1/2025,7790
4/1/2025,7909
